Ville1;ville2;type;duree;cout;
Lille;Dunkerque;a;57;8.09;
Lille;Paris;a;149;41.18;
Lille;Metz;a;197;37.79;
Lille;Rouen;a;143;42.34;
Lille;Havre;a;176;57.38;
Rouen;Havre;a;57;8.09;
Rouen;Paris;a;63;18.56;
Havre;Rennes;a;169;39.55;
Rennes;Paris;a;211;66.33;
Rennes;Brest;a;154;25.28;
Rennes;Nantes;a;84;11.31;
Bordeaux;Nantes;a;193;66.82;
Bordeaux;Toulouse;a;139;46.02;
Nantes;Paris;a;223;79.47;
Toulouse;Montpellier;a;143;49.86;
Toulouse;Paris;a;368;107.75;
Toulouse;Clermont-Ferrand;a;225;70.31;
Montpellier;Clermont-Ferrand;a;203;46.66;
Montpellier;Marseille;a;109;28.60;
Marseille;Nice;a;128;41.20;
Marseille;Lyon;a;183;58.07;
Lyon;Grenoble;a;80;24.04;
Lyon;Dijon;a;115;36.73;
Dijon;Nancy;a;126;37.46;
Nancy;Metz;a;43;5.84;
Metz;Strasbourg;a;158;15.0;
Paris;Metz;a;176;61.34;
Paris;Dijon;a;187;52.54;
Paris;Bordeaux;a;320;117.76;
Paris;Clermont-Ferrand;a;238;84.07;
Lyon;Clermont-Ferrand;a;108;33.92;
Nancy;Strasbourg;d;128;16.24;
Grenoble;Marseille;d;274;29.85;
Grenoble;Nice;d;327;35.37;
Brest;Nantes;d;190;31.10;
Grenoble;Dijon;d;288;30.63;
Dijon;Strasbourg;d;343;31.0;
Paris;Nancy;d;231;33.03;
Bordeaux;Clermont-Ferrand;d;314;46.85;
Marseille;Clermont-Ferrand;d;340;46.86;
Dijon;Clermont-Ferrand;d;138;29.37;
Nantes;Clermont-Ferrand;d;372;48.92;
Rennes;Clermont-Ferrand;d;430;59.41;
Rennes;Dijon;d;503;61.29;
Bordeaux;Montpellier;d;431;53.03;
Rouen;Rennes;d;230;33.94;
Rouen;Metz;d;374;47.53;
